,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
22,Alex Sola,es ESP,DF,23.0,16,6,596.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.03,,,,,,,,6.0,1.0,16.7,0.0,27.0,269.0,337.0,79.8,4551.0,1124.0,0.1,25.0,10.0,16.0,50.0,11.0,35.0,11.0,0.0,8.0,5.0,61.5,2022-2023,Real Sociedad,La Liga
23,Jon Karrikaburu,es ESP,FW,19.0,12,3,351.0,3.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,0.31,,,,,,,,16.0,7.0,43.8,0.13,17.4,38.0,52.0,73.1,477.0,141.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,50.0,2022-2023,Real Sociedad,La Liga
24,Beñat Turrientes,es ESP,"MF,FW",20.0,13,3,322.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.05,,,,,,,,7.0,1.0,14.3,0.0,26.7,99.0,121.0,81.8,1791.0,295.0,0.1,9.0,4.0,10.0,30.8,2.0,11.0,5.0,0.0,1.0,7.0,12.5,2022-2023,Real Sociedad,La Liga
25,Alexander Isak,se SWE,FW,22.0,2,2,152.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.12,,,,,,,,3.0,1.0,33.3,0.33,12.0,17.0,30.0,56.7,236.0,60.0,0.0,1.0,0.0,1.0,,0.0,1.0,2.0,0.0,0.0,0.0,,2022-2023,Real Sociedad,La Liga
26,Umar Sadiq,ng NGA,FW,25.0,3,2,127.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.35,,,,,,,,2.0,1.0,50.0,0.5,8.3,19.0,21.0,90.5,230.0,43.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,50.0,2022-2023,Real Sociedad,La Liga
27,Jon Magunacelaya,es ESP,"MF,FW",22.0,5,0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.02,,,,,,,,1.0,1.0,100.0,0.0,10.8,13.0,26.0,50.0,213.0,73.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,20.0,2022-2023,Real Sociedad,La Liga
28,Andoni Zubiaurre,es ESP,GK,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Real Sociedad,La Liga
29,Ander Martin,es ESP,"MF,FW",21.0,4,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,,,,,,1.0,1.0,100.0,0.0,,12.0,24.0,50.0,175.0,71.0,0.0,2.0,1.0,2.0,25.0,0.0,2.0,1.0,0.0,1.0,3.0,25.0,2022-2023,Real Sociedad,La Liga
30,Olasagasti,es ESP,"MF,DF",21.0,4,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,,,,,,,4.0,2.0,50.0,0.0,29.1,39.0,48.0,81.3,645.0,118.0,0.0,4.0,1.0,4.0,50.0,0.0,4.0,1.0,0.0,2.0,0.0,100.0,2022-2023,Real Sociedad,La Liga
31,Aritz Arambarri,es ESP,DF,24.0,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,32.0,38.0,84.2,540.0,131.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2022-2023,Real Sociedad,La Liga
32,Urko González,es ESP,DF,21.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,19.0,24.0,79.2,359.0,46.0,0.0,3.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,,2022-2023,Real Sociedad,La Liga
33,Jonathan Gomez,us USA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Real Sociedad,La Liga
34,Egoitz Arana,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Real Sociedad,La Liga
35,Unai Marrero,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Real Sociedad,La Liga
0,Daniel Parejo,es ESP,MF,33.0,48,40,3746.0,41.6,3.0,5.0,8.0,1.0,2.0,4.0,7.0,0.0,4.8,1.5,5.2,0.04,,,,,,,,28.0,8.0,28.6,0.04,27.5,2493.0,2867.0,87.0,44924.0,14879.0,6.0,78.0,33.0,46.0,40.2,34.0,111.0,34.0,2.0,20.0,23.0,46.5,2022-2023,Villarreal,La Liga
1,Pau Torres,es ESP,DF,25.0,37,36,3309.0,36.8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,2.4,2.4,1.0,0.07,,,,,,,,14.0,5.0,35.7,0.07,9.5,1907.0,2232.0,85.4,38274.0,13276.0,1.5,43.0,23.0,33.0,63.9,14.0,56.0,147.0,3.0,59.0,49.0,54.6,2022-2023,Villarreal,La Liga
2,Samuel Chukwueze,ng NGA,"FW,MF",23.0,48,37,3067.0,34.1,12.0,10.0,22.0,12.0,0.0,0.0,2.0,0.0,8.0,8.0,5.1,0.25,,,,,,,,76.0,25.0,32.9,0.16,16.9,865.0,1113.0,77.7,13089.0,2868.0,5.5,21.0,10.0,12.0,38.5,16.0,35.0,16.0,0.0,17.0,21.0,44.7,2022-2023,Villarreal,La Liga
3,Yeremi Pino,es ESP,"FW,MF",19.0,46,36,2959.0,32.9,4.0,7.0,11.0,4.0,0.0,0.0,10.0,0.0,8.7,8.7,6.4,0.28,,,,,,,,62.0,23.0,37.1,0.06,12.9,763.0,989.0,77.1,10338.0,1760.0,5.1,68.0,24.0,39.0,39.3,16.0,84.0,41.0,0.0,30.0,41.0,42.3,2022-2023,Villarreal,La Liga
4,Alex Baena,es ESP,"MF,FW",21.0,46,30,2786.0,31.0,12.0,3.0,15.0,12.0,0.0,0.0,17.0,1.0,5.2,5.2,7.5,0.19,,,,,,,,89.0,33.0,37.1,0.13,21.7,913.0,1154.0,79.1,15096.0,4095.0,5.5,33.0,16.0,21.0,33.3,10.0,42.0,18.0,0.0,2.0,26.0,7.1,2022-2023,Villarreal,La Liga
5,Pepe Reina,es ESP,GK,39.0,30,30,2730.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7,0.0,36.0,117.0,81.0,73.5,0.0,7.0,23.3,0.0,0.0,,,,799.0,991.0,80.6,18474.0,12641.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,3.0,0.0,100.0,2022-2023,Villarreal,La Liga
6,Aïssa Mandi,dz ALG,DF,30.0,33,27,2520.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.01,,,,,,,,4.0,2.0,50.0,0.0,14.0,1376.0,1488.0,92.5,27161.0,9502.0,0.5,24.0,9.0,13.0,56.3,31.0,54.0,74.0,0.0,30.0,22.0,57.7,2022-2023,Villarreal,La Liga
7,Juan Foyth,ar ARG,DF,24.0,29,26,2277.0,25.3,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,1.7,0.05,,,,,,,,14.0,4.0,28.6,0.07,13.7,1230.0,1402.0,87.7,20499.0,7697.0,1.4,84.0,49.0,57.0,74.2,22.0,105.0,76.0,1.0,36.0,23.0,61.0,2022-2023,Villarreal,La Liga
