,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
15,Marco Sportiello,it ITA,GK,30.0,15,14,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,64.0,43.0,68.8,0.0,2.0,14.3,0.0,0.0,,,,362.0,462.0,78.4,9718.0,6618.0,0.0,1.0,1.0,0.0,33.3,0.0,1.0,2.0,0.0,4.0,0.0,100.0,2022-2023,Atalanta,Serie A
16,Luis Muriel,co COL,"FW,MF",31.0,29,10,1073.0,11.9,3.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.8,2.0,3.5,0.17,,,,,,,,33.0,8.0,24.2,0.06,20.6,354.0,539.0,65.7,6248.0,1973.0,4.1,9.0,5.0,6.0,31.3,2.0,11.0,2.0,0.0,11.0,27.0,28.9,2022-2023,Atalanta,Serie A
17,Caleb Okoli,it ITA,DF,21.0,17,9,960.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.04,,,,,,,,7.0,2.0,28.6,0.0,12.2,345.0,458.0,75.3,5887.0,2267.0,0.1,21.0,10.0,17.0,40.0,30.0,51.0,44.0,3.0,43.0,25.0,63.2,2022-2023,Atalanta,Serie A
18,Matteo Ruggeri,it ITA,"DF,MF",20.0,15,8,829.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.9,0.06,,,,,,,,10.0,1.0,10.0,0.0,16.7,515.0,631.0,81.6,8203.0,3341.0,0.9,17.0,8.0,12.0,50.0,12.0,29.0,16.0,0.0,13.0,6.0,68.4,2022-2023,Atalanta,Serie A
19,José Luis Palomino,ar ARG,DF,32.0,15,8,759.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.06,,,,,,,,6.0,3.0,50.0,0.17,12.6,428.0,518.0,82.6,7998.0,2928.0,0.3,23.0,11.0,14.0,57.9,28.0,51.0,20.0,0.0,24.0,13.0,64.9,2022-2023,Atalanta,Serie A
20,Brandon Soppy,fr FRA,DF,20.0,15,8,643.0,7.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.6,0.05,,,,,,,,7.0,2.0,28.6,0.0,18.9,243.0,322.0,75.5,3511.0,1451.0,1.3,8.0,3.0,5.0,33.3,3.0,11.0,7.0,0.0,4.0,2.0,66.7,2022-2023,Atalanta,Serie A
21,Jeremie Boga,ci CIV,"MF,FW",25.0,23,5,782.0,8.7,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,2.8,0.22,,,,,,,,13.0,3.0,23.1,0.15,20.2,381.0,475.0,80.2,5908.0,1552.0,3.3,9.0,2.0,5.0,40.0,1.0,10.0,1.0,0.0,5.0,4.0,55.6,2022-2023,Atalanta,Serie A
22,Ruslan Malinovskyi,ua UKR,"MF,FW",29.0,15,5,553.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.0,0.1,,,,,,,,19.0,6.0,31.6,0.05,25.6,248.0,332.0,74.7,4851.0,1645.0,1.3,14.0,6.0,8.0,35.3,5.0,19.0,2.0,0.0,5.0,7.0,41.7,2022-2023,Atalanta,Serie A
23,Nadir Zortea,it ITA,"DF,MF",23.0,9,1,222.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.05,,,,,,,,4.0,3.0,75.0,0.25,20.4,60.0,98.0,61.2,937.0,602.0,0.2,10.0,3.0,5.0,75.0,0.0,10.0,4.0,0.0,5.0,1.0,83.3,2022-2023,Atalanta,Serie A
24,Lukáš Vorlický,cz CZE,"MF,FW",20.0,3,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,,,,,,,,1.0,1.0,100.0,0.0,24.1,19.0,31.0,61.3,271.0,44.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,2.0,2.0,50.0,2022-2023,Atalanta,Serie A
25,Tommaso De Nipoti,it ITA,MF,19.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,3.0,5.0,60.0,85.0,20.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,100.0,2022-2023,Atalanta,Serie A
26,Francesco Rossi,it ITA,GK,31.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,3.0,4.0,75.0,52.0,28.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Atalanta,Serie A
27,Lorenzo Bernasconi,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
28,Tommaso Bertini,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
29,Mannah Chiwisa,zm ZAM,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
30,Matteo Colombo,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
31,Tommaso Del Lungo,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
32,Alessandro Falleni,it ITA,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
33,Leonardo Mendicino,it ITA,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
34,Endri Muhameti,al ALB,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
35,Marco Palestra,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
36,Iacopo Regonesi,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Atalanta,Serie A
0,Rui Patrício,pt POR,GK,34.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,108.0,73.0,69.4,33.3,13.0,37.1,0.0,0.0,,,,677.0,887.0,76.3,18489.0,12522.0,0.0,1.0,1.0,1.0,100.0,2.0,3.0,6.0,3.0,2.0,0.0,100.0,2022-2023,Roma,Serie A
1,Bryan Cristante,it ITA,"MF,DF",27.0,36,34,2938.0,32.6,1.0,1.0,2.0,1.0,0.0,1.0,8.0,1.0,2.6,1.9,1.4,0.06,,,,,,,,28.0,5.0,17.9,0.04,16.8,1381.0,1679.0,82.3,25923.0,8226.0,2.0,113.0,55.0,62.0,61.1,18.0,131.0,53.0,0.0,75.0,41.0,64.7,2022-2023,Roma,Serie A
2,Gianluca Mancini,it ITA,DF,26.0,35,33,2858.0,31.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,2.3,2.3,1.6,0.07,,,,,,,,22.0,5.0,22.7,0.05,13.1,1306.0,1621.0,80.6,24870.0,8978.0,1.3,37.0,18.0,19.0,52.9,46.0,83.0,67.0,0.0,58.0,26.0,69.0,2022-2023,Roma,Serie A
3,Roger Ibanez,br BRA,DF,23.0,33,32,2796.0,31.1,3.0,0.0,3.0,3.0,0.0,0.0,11.0,1.0,3.0,3.0,0.6,0.1,,,,,,,,29.0,10.0,34.5,0.1,12.3,1462.0,1663.0,87.9,27071.0,9588.0,0.9,67.0,32.0,33.0,66.7,66.0,133.0,95.0,2.0,59.0,28.0,67.8,2022-2023,Roma,Serie A
4,Chris Smalling,eng ENG,DF,32.0,32,31,2808.0,31.2,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.7,1.7,0.4,0.05,,,,,,,,17.0,4.0,23.5,0.18,8.5,1173.0,1344.0,87.3,22956.0,7520.0,0.8,26.0,13.0,15.0,61.9,43.0,69.0,123.0,0.0,71.0,24.0,74.7,2022-2023,Roma,Serie A
