,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
14,Hugo Ekitike,fr FRA,"MF,FW",20,32,14,1399.0,15.5,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,3.9,3.9,1.6,0.29,,,,,,,,40.0,18.0,45.0,0.1,14.8,282.0,345.0,81.7,3461.0,413.0,1.7,13.0,5.0,5.0,38.5,9.0,22.0,3.0,0.0,9.0,13.0,40.9,2022-2023,Paris Saint Germain,Ligue 1
15,Nordi Mukiele,fr FRA,"DF,MF",24,25,14,1351.0,15.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,0.07,,,,,,,,11.0,2.0,18.2,0.0,11.6,621.0,722.0,86.0,9053.0,2652.0,1.5,32.0,20.0,25.0,66.7,16.0,47.0,18.0,0.0,23.0,15.0,60.5,2022-2023,Paris Saint Germain,Ligue 1
16,Warren Zaire-Emery,fr FRA,MF,16,31,10,1130.0,12.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.6,0.13,,,,,,,,9.0,4.0,44.4,0.22,17.1,601.0,662.0,90.8,8149.0,1665.0,1.2,19.0,10.0,15.0,29.4,13.0,31.0,17.0,0.0,3.0,13.0,18.8,2022-2023,Paris Saint Germain,Ligue 1
17,Presnel Kimpembe,fr FRA,DF,26,15,11,967.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.2,0.07,,,,,,,,5.0,0.0,0.0,0.0,6.3,569.0,606.0,93.9,8644.0,3566.0,0.3,19.0,9.0,10.0,69.2,17.0,34.0,11.0,1.0,14.0,8.0,63.6,2022-2023,Paris Saint Germain,Ligue 1
18,Renato Sanches,pt POR,MF,24,27,8,915.0,10.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,1.7,0.11,,,,,,,,14.0,6.0,42.9,0.14,17.9,710.0,775.0,91.6,11478.0,2798.0,1.4,11.0,7.0,1.0,41.2,10.0,21.0,4.0,0.0,5.0,7.0,41.7,2022-2023,Paris Saint Germain,Ligue 1
19,El Chadaille Bitshiabu,fr FRA,DF,17,16,7,717.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,,,,,,,,0.0,0.0,,,,456.0,492.0,92.7,7896.0,2697.0,0.1,11.0,3.0,9.0,25.0,10.0,20.0,15.0,3.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
20,Pablo Sarabia,es ESP,MF,30,19,6,634.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,1.4,0.28,,,,,,,,13.0,4.0,30.8,0.0,13.0,164.0,213.0,77.0,2342.0,686.0,1.2,6.0,2.0,5.0,25.0,2.0,8.0,0.0,0.0,1.0,2.0,33.3,2022-2023,Paris Saint Germain,Ligue 1
21,Timothee Pembele,fr FRA,DF,19,6,5,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.05,,,,,,,,3.0,1.0,33.3,0.0,16.3,71.0,89.0,79.8,939.0,189.0,0.4,5.0,2.0,5.0,50.0,4.0,9.0,2.0,0.0,3.0,3.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
22,Keylor Navas,cr CRC,GK,35,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,1.0,50.0,,1.0,50.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Paris Saint Germain,Ligue 1
23,Ismaël Gharbi,es ESP,MF,18,8,1,147.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.32,,,,,,,,4.0,2.0,50.0,0.0,21.3,32.0,36.0,88.9,320.0,45.0,0.1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
24,Leandro Paredes,ar ARG,MF,28,4,0,65.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,,,,,,,0.0,0.0,,,,68.0,70.0,97.1,1060.0,325.0,0.4,1.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
25,Ilyes Housni,fr FRA,FW,17,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,100.0,0.0,,3.0,3.0,100.0,37.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
26,Alexandre Letellier,fr FRA,GK,31,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,4.0,4.0,100.0,68.0,43.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
