,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
14,Hugo Ekitike,fr FRA,FW,20.0,25,12,1155.0,12.8,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,3.7,3.7,1.6,0.29,,,,,,,,34.0,12.0,35.3,0.09,14.8,271.0,331.0,81.9,3321.0,391.0,1.6,12.0,4.0,4.0,33.3,9.0,21.0,3.0,0.0,8.0,12.0,40.0,2022-2023,Paris Saint Germain,Ligue 1
15,Nordi Mukiele,fr FRA,DF,24.0,19,12,1137.0,12.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,0.08,,,,,,,,11.0,2.0,18.2,0.0,11.6,585.0,674.0,86.8,8570.0,2494.0,1.4,31.0,19.0,23.0,65.5,14.0,45.0,16.0,0.0,21.0,10.0,67.7,2022-2023,Paris Saint Germain,Ligue 1
16,Presnel Kimpembe,fr FRA,DF,26.0,11,9,730.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.2,0.08,,,,,,,,4.0,0.0,0.0,0.0,6.3,471.0,503.0,93.6,7240.0,2911.0,0.3,17.0,9.0,8.0,69.2,13.0,30.0,9.0,1.0,13.0,8.0,61.9,2022-2023,Paris Saint Germain,Ligue 1
17,Warren Zaire-Emery,fr FRA,"MF,DF",16.0,26,8,929.0,10.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.4,0.14,,,,,,,,9.0,4.0,44.4,0.22,17.1,571.0,624.0,91.5,7791.0,1610.0,0.6,17.0,8.0,10.0,27.6,12.0,29.0,17.0,0.0,3.0,11.0,21.4,2022-2023,Paris Saint Germain,Ligue 1
18,Renato Sanches,pt POR,MF,24.0,23,6,717.0,8.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,1.7,0.14,,,,,,,,14.0,6.0,42.9,0.14,17.9,608.0,669.0,90.9,9958.0,2377.0,1.3,8.0,5.0,1.0,35.7,9.0,17.0,4.0,0.0,5.0,4.0,55.6,2022-2023,Paris Saint Germain,Ligue 1
19,El Chadaille Bitshiabu,fr FRA,DF,17.0,13,6,583.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,,,,,,,,0.0,0.0,,,,430.0,465.0,92.5,7453.0,2477.0,0.1,10.0,3.0,7.0,25.0,9.0,19.0,13.0,3.0,6.0,4.0,60.0,2022-2023,Paris Saint Germain,Ligue 1
20,Timothee Pembele,fr FRA,DF,19.0,5,4,263.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.05,,,,,,,,3.0,1.0,33.3,0.0,16.3,71.0,89.0,79.8,939.0,189.0,0.4,5.0,2.0,5.0,50.0,4.0,9.0,2.0,0.0,3.0,3.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
21,Pablo Sarabia,es ESP,"FW,MF",30.0,14,3,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,1.3,0.32,,,,,,,,6.0,2.0,33.3,0.0,10.4,147.0,187.0,78.6,2118.0,609.0,1.1,5.0,1.0,4.0,14.3,2.0,7.0,0.0,0.0,0.0,2.0,0.0,2022-2023,Paris Saint Germain,Ligue 1
22,Ismaël Gharbi,es ESP,"MF,FW",18.0,6,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.32,,,,,,,,3.0,1.0,33.3,0.0,21.3,32.0,36.0,88.9,320.0,45.0,0.1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
23,Leandro Paredes,ar ARG,MF,28.0,3,0,52.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,,,,,,,0.0,0.0,,,,68.0,70.0,97.1,1060.0,325.0,0.4,1.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
24,Ilyes Housni,fr FRA,FW,17.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,3.0,3.0,100.0,37.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
25,Alexandre Letellier,fr FRA,GK,31.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,4.0,4.0,100.0,68.0,43.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
26,Abdou Diallo,sn SEN,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
27,Nehemiah Fernandez,fr FRA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
28,Arnaud Kalimuendo,fr FRA,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
29,Ayman Kari,fr FRA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
30,Hugo Lamy,fr FRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
31,Lucas Lavallée,fr FRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
32,Keylor Navas,cr CRC,GK,35.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
33,Serif Nhaga,pt POR,DF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
34,Sergio Rico,es ESP,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Paris Saint Germain,Ligue 1
0,Brice Samba,fr FRA,GK,28.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.0,28.0,125.0,98.0,80.0,0.0,15.0,40.5,0.0,0.0,,,,938.0,1237.0,75.8,25038.0,16717.0,0.0,1.0,1.0,0.0,50.0,0.0,1.0,12.0,2.0,8.0,2.0,80.0,2022-2023,Lens,Ligue 1
1,Kevin Danso,at AUT,DF,23.0,37,37,3232.0,35.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,2.5,2.4,1.0,0.07,,,,,,,,24.0,4.0,16.7,0.04,14.9,2103.0,2336.0,90.0,39503.0,14272.0,1.3,37.0,19.0,19.0,63.3,33.0,70.0,124.0,0.0,82.0,32.0,71.9,2022-2023,Lens,Ligue 1
2,Seko Fofana,ci CIV,MF,27.0,35,34,3073.0,34.1,7.0,5.0,12.0,6.0,1.0,2.0,2.0,0.0,9.3,7.7,3.6,0.22,,,,,,,,82.0,22.0,26.8,0.07,19.9,1590.0,1820.0,87.4,25744.0,5048.0,3.3,28.0,15.0,13.0,38.5,19.0,47.0,14.0,0.0,22.0,15.0,59.5,2022-2023,Lens,Ligue 1
3,Florian Sotoca,fr FRA,"MF,FW",31.0,38,34,3054.0,33.9,7.0,9.0,16.0,6.0,1.0,3.0,4.0,0.0,10.5,8.1,8.1,0.24,,,,,,,,86.0,29.0,33.7,0.07,15.6,1172.0,1536.0,76.3,20095.0,5544.0,6.1,39.0,15.0,19.0,37.5,29.0,68.0,51.0,0.0,56.0,45.0,55.4,2022-2023,Lens,Ligue 1
4,Salis Abdul Samed,gh GHA,MF,22.0,33,33,2894.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.6,0.03,,,,,,,,13.0,4.0,30.8,0.08,19.1,1819.0,1981.0,91.8,28679.0,7020.0,2.3,46.0,29.0,26.0,55.8,36.0,82.0,26.0,0.0,14.0,17.0,45.2,2022-2023,Lens,Ligue 1
5,Jonathan Gradit,fr FRA,DF,29.0,33,33,2823.0,31.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,1.1,0.03,,,,,,,,5.0,1.0,20.0,0.2,14.1,1875.0,2093.0,89.6,34040.0,12990.0,1.6,62.0,31.0,40.0,58.5,38.0,100.0,83.0,0.0,47.0,45.0,51.1,2022-2023,Lens,Ligue 1
6,Facundo Medina,ar ARG,DF,23.0,32,32,2779.0,30.9,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,2.6,2.6,1.8,0.08,,,,,,,,18.0,4.0,22.2,0.11,13.9,2260.0,2506.0,90.2,37270.0,14504.0,1.8,31.0,13.0,20.0,37.1,26.0,57.0,62.0,1.0,37.0,43.0,46.3,2022-2023,Lens,Ligue 1
7,Przemysław Frankowski,pl POL,"DF,MF",27.0,37,31,2833.0,31.5,5.0,3.0,8.0,2.0,3.0,3.0,4.0,0.0,4.2,1.8,6.8,0.06,,,,,,,,28.0,6.0,21.4,0.07,22.1,1364.0,1828.0,74.6,23200.0,8259.0,6.9,77.0,39.0,51.0,48.8,41.0,118.0,42.0,2.0,12.0,21.0,36.4,2022-2023,Lens,Ligue 1
8,Loïs Openda,be BEL,FW,22.0,38,29,2517.0,28.0,21.0,4.0,25.0,20.0,1.0,1.0,2.0,0.0,18.4,17.6,4.0,0.63,,,,,,,,103.0,49.0,47.6,0.19,13.1,297.0,443.0,67.0,4347.0,944.0,3.7,11.0,2.0,9.0,15.4,2.0,13.0,6.0,0.0,13.0,20.0,39.4,2022-2023,Lens,Ligue 1
9,Deiver Machado,co COL,"DF,MF",28.0,33,26,2184.0,24.3,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,1.3,1.3,2.8,0.05,,,,,,,,18.0,7.0,38.9,0.22,19.3,719.0,875.0,82.2,11319.0,3207.0,2.6,45.0,21.0,26.0,61.8,21.0,66.0,27.0,0.0,15.0,29.0,34.1,2022-2023,Lens,Ligue 1
10,Massadio Haïdara,ml MLI,"DF,MF",29.0,36,17,1671.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.1,2.1,1.1,0.11,,,,,,,,13.0,0.0,0.0,0.0,11.6,843.0,996.0,84.6,13642.0,4334.0,1.5,24.0,12.0,16.0,50.0,36.0,60.0,39.0,1.0,38.0,15.0,71.7,2022-2023,Lens,Ligue 1
11,David Pereira da Costa,pt POR,"MF,FW",21.0,31,16,1407.0,15.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.8,2.8,4.1,0.18,,,,,,,,26.0,7.0,26.9,0.04,17.6,615.0,761.0,80.8,9640.0,2690.0,4.2,13.0,7.0,7.0,36.8,11.0,24.0,6.0,0.0,3.0,11.0,21.4,2022-2023,Lens,Ligue 1
12,Adrien Thomasson,fr FRA,"MF,FW",28.0,20,16,1278.0,14.2,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,3.0,3.0,2.8,0.21,,,,,,,,21.0,9.0,42.9,0.24,14.5,440.0,559.0,78.7,6769.0,1554.0,1.6,24.0,12.0,17.0,26.7,4.0,28.0,17.0,0.0,12.0,18.0,40.0,2022-2023,Lens,Ligue 1
13,Angelo Fulgini,fr FRA,"MF,FW",25.0,17,12,858.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,2.7,0.13,,,,,,,,12.0,8.0,66.7,0.08,15.7,380.0,501.0,75.8,5810.0,1938.0,3.4,14.0,5.0,7.0,35.7,8.0,22.0,2.0,0.0,4.0,14.0,22.2,2022-2023,Lens,Ligue 1
