,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
15,Nadiem Amiri,de GER,"MF,FW",25.0,25,9,977.0,10.9,4.0,1.0,5.0,3.0,1.0,1.0,6.0,0.0,1.9,1.1,1.1,0.1,,,,,,,,23.0,8.0,34.8,0.13,24.3,423.0,507.0,83.4,6968.0,1759.0,1.8,15.0,9.0,6.0,45.0,6.0,21.0,10.0,2.0,1.0,10.0,9.1,2022-2023,Bayer Leverkusen,Bundesliga
16,Sardar Azmoun,ir IRN,"FW,MF",27.0,23,8,927.0,10.3,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.5,3.5,2.5,0.34,,,,,,,,28.0,10.0,35.7,0.14,12.1,162.0,247.0,65.6,2373.0,844.0,1.4,6.0,1.0,3.0,14.3,2.0,8.0,14.0,0.0,22.0,46.0,32.4,2022-2023,Bayer Leverkusen,Bundesliga
17,Callum Hudson-Odoi,eng ENG,"FW,MF",21.0,14,7,605.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.03,,,,,,,,4.0,1.0,25.0,0.0,20.4,206.0,248.0,83.1,3427.0,782.0,0.9,5.0,1.0,3.0,100.0,2.0,7.0,4.0,0.0,0.0,5.0,0.0,2022-2023,Bayer Leverkusen,Bundesliga
18,Charles Aránguiz,cl CHI,MF,33.0,10,4,493.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.06,,,,,,,,5.0,2.0,40.0,0.2,18.5,248.0,311.0,79.7,3706.0,1211.0,0.2,17.0,12.0,7.0,60.0,7.0,24.0,4.0,0.0,2.0,7.0,22.2,2022-2023,Bayer Leverkusen,Bundesliga
19,Daley Sinkgraven,nl NED,"DF,MF",27.0,12,4,344.0,3.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.3,0.04,,,,,,,,4.0,1.0,25.0,0.0,18.9,159.0,209.0,76.1,2513.0,753.0,0.3,10.0,7.0,7.0,77.8,5.0,15.0,7.0,0.0,3.0,5.0,37.5,2022-2023,Bayer Leverkusen,Bundesliga
20,Timothy Fosu-Mensah,nl NED,DF,24.0,11,1,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.05,,,,,,,,3.0,2.0,66.7,0.0,24.5,93.0,119.0,78.2,1267.0,310.0,0.2,7.0,4.0,5.0,100.0,0.0,7.0,1.0,0.0,2.0,2.0,50.0,2022-2023,Bayer Leverkusen,Bundesliga
21,Andrey Lunyov,ru RUS,GK,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,50.0,,0.0,0.0,0.0,0.0,,,,35.0,44.0,79.5,880.0,696.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2022-2023,Bayer Leverkusen,Bundesliga
22,Karim Bellarabi,de GER,"FW,MF",32.0,8,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,37.0,57.0,64.9,493.0,171.0,0.0,2.0,2.0,0.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,,2022-2023,Bayer Leverkusen,Bundesliga
23,Paulinho,br BRA,FW,22.0,4,1,82.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.58,,,,,,,,2.0,1.0,50.0,0.5,16.1,23.0,28.0,82.1,279.0,86.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,4.0,20.0,2022-2023,Bayer Leverkusen,Bundesliga
24,Joel Pohjanpalo,fi FIN,"FW,MF",27.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022-2023,Bayer Leverkusen,Bundesliga
