,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
10,Juan Bernat,es ESP,"DF,MF",29.0,28,18,1648.0,18.3,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3.1,3.9,24.0,38.0,143.0,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21,Matches,,,,,,,,7.0,6.0,85.7,0.14,11.4,969.0,585.0,316.0,23.0,1049.0,626.0,337.0,29.0,92.4,93.5,93.8,79.3,13422.0,3011.0,3.0,32.0,21.0,16.0,53.8,9.0,41.0,22.0,1.0,6.0,10.0,37.5,2022-2023,Paris Saint Germain,Ligue 1
11,Nuno Mendes,pt POR,DF,20.0,23,18,1548.0,17.2,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.8,3.9,51.0,77.0,195.0,0.06,0.35,0.41,0.06,0.41,0.06,0.17,0.23,0.06,0.23,Matches,,,,,,,,10.0,7.0,70.0,0.1,13.7,793.0,450.0,266.0,30.0,932.0,500.0,303.0,43.0,85.1,90.0,87.8,69.8,11300.0,3442.0,3.6,45.0,30.0,30.0,73.2,17.0,62.0,18.0,0.0,10.0,6.0,62.5,2022-2023,Paris Saint Germain,Ligue 1
12,Neymar,br BRA,"MF,FW",30.0,20,18,1545.0,17.2,13.0,11.0,24.0,11.0,2.0,2.0,6.0,1.0,8.1,6.5,8.8,15.3,69.0,161.0,127.0,0.76,0.64,1.4,0.64,1.28,0.47,0.51,0.98,0.38,0.89,Matches,,,,,,,,36.0,18.0,50.0,0.31,16.8,1011.0,568.0,297.0,71.0,1262.0,659.0,359.0,124.0,80.1,86.2,82.7,57.3,14702.0,5435.0,7.4,22.0,9.0,14.0,47.4,4.0,26.0,1.0,1.0,1.0,2.0,33.3,2022-2023,Paris Saint Germain,Ligue 1
13,Carlos Soler,es ESP,MF,25.0,26,14,1187.0,13.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.6,1.6,1.4,3.0,18.0,53.0,67.0,0.23,0.15,0.38,0.23,0.38,0.12,0.11,0.23,0.12,0.23,Matches,,,,,,,,10.0,6.0,60.0,0.3,15.2,544.0,313.0,165.0,27.0,641.0,352.0,188.0,46.0,84.9,88.9,87.8,58.7,7564.0,1756.0,1.4,20.0,10.0,12.0,52.6,4.0,24.0,6.0,0.0,1.0,6.0,14.3,2022-2023,Paris Saint Germain,Ligue 1
14,Hugo Ekitike,fr FRA,FW,20.0,25,12,1155.0,12.8,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,3.7,3.7,1.6,5.3,23.0,23.0,84.0,0.23,0.31,0.55,0.23,0.55,0.29,0.13,0.42,0.29,0.42,Matches,,,,,,,,34.0,12.0,35.3,0.09,14.8,271.0,188.0,54.0,6.0,331.0,221.0,71.0,9.0,81.9,85.1,76.1,66.7,3321.0,391.0,1.6,12.0,4.0,4.0,33.3,9.0,21.0,3.0,0.0,8.0,12.0,40.0,2022-2023,Paris Saint Germain,Ligue 1
15,Nordi Mukiele,fr FRA,DF,24.0,19,12,1137.0,12.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,3.1,19.0,26.0,57.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,Matches,,,,,,,,11.0,2.0,18.2,0.0,11.6,585.0,320.0,220.0,19.0,674.0,342.0,253.0,29.0,86.8,93.6,87.0,65.5,8570.0,2494.0,1.4,31.0,19.0,23.0,65.5,14.0,45.0,16.0,0.0,21.0,10.0,67.7,2022-2023,Paris Saint Germain,Ligue 1
16,Presnel Kimpembe,fr FRA,DF,26.0,11,9,730.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.2,0.8,4.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,,,,,,,,4.0,0.0,0.0,0.0,6.3,471.0,243.0,194.0,22.0,503.0,251.0,202.0,26.0,93.6,96.8,96.0,84.6,7240.0,2911.0,0.3,17.0,9.0,8.0,69.2,13.0,30.0,9.0,1.0,13.0,8.0,61.9,2022-2023,Paris Saint Germain,Ligue 1
17,Warren Zaire-Emery,fr FRA,"MF,DF",16.0,26,8,929.0,10.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.4,1.9,23.0,32.0,54.0,0.19,0.0,0.19,0.19,0.19,0.14,0.04,0.18,0.14,0.18,Matches,,,,,,,,9.0,4.0,44.4,0.22,17.1,571.0,340.0,190.0,11.0,624.0,367.0,196.0,16.0,91.5,92.6,96.9,68.8,7791.0,1610.0,0.6,17.0,8.0,10.0,27.6,12.0,29.0,17.0,0.0,3.0,11.0,21.4,2022-2023,Paris Saint Germain,Ligue 1
18,Renato Sanches,pt POR,MF,24.0,23,6,717.0,8.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,1.7,2.8,30.0,56.0,25.0,0.25,0.0,0.25,0.25,0.25,0.14,0.21,0.35,0.14,0.35,Matches,,,,,,,,14.0,6.0,42.9,0.14,17.9,608.0,300.0,243.0,48.0,669.0,331.0,254.0,58.0,90.9,90.6,95.7,82.8,9958.0,2377.0,1.3,8.0,5.0,1.0,35.7,9.0,17.0,4.0,0.0,5.0,4.0,55.6,2022-2023,Paris Saint Germain,Ligue 1
19,El Chadaille Bitshiabu,fr FRA,DF,17.0,13,6,583.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,,,,,,,,0.0,0.0,,,,430.0,184.0,200.0,33.0,465.0,193.0,216.0,41.0,92.5,95.3,92.6,80.5,7453.0,2477.0,0.1,10.0,3.0,7.0,25.0,9.0,19.0,13.0,3.0,6.0,4.0,60.0,2022-2023,Paris Saint Germain,Ligue 1
20,Timothee Pembele,fr FRA,DF,19.0,5,4,263.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,5.0,20.0,0.0,0.34,0.34,0.0,0.34,0.05,0.11,0.17,0.05,0.17,Matches,,,,,,,,3.0,1.0,33.3,0.0,16.3,71.0,44.0,20.0,2.0,89.0,49.0,24.0,5.0,79.8,89.8,83.3,40.0,939.0,189.0,0.4,5.0,2.0,5.0,50.0,4.0,9.0,2.0,0.0,3.0,3.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
21,Pablo Sarabia,es ESP,"FW,MF",30.0,14,3,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,1.3,2.7,9.0,18.0,37.0,0.0,0.0,0.0,0.0,0.0,0.32,0.33,0.64,0.32,0.64,Matches,,,,,,,,6.0,2.0,33.3,0.0,10.4,147.0,81.0,49.0,6.0,187.0,94.0,56.0,16.0,78.6,86.2,87.5,37.5,2118.0,609.0,1.1,5.0,1.0,4.0,14.3,2.0,7.0,0.0,0.0,0.0,2.0,0.0,2022-2023,Paris Saint Germain,Ligue 1
22,Ismaël Gharbi,es ESP,"MF,FW",18.0,6,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,,,,,,,,3.0,1.0,33.3,0.0,21.3,32.0,23.0,5.0,0.0,36.0,26.0,5.0,1.0,88.9,88.5,100.0,0.0,320.0,45.0,0.1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,2022-2023,Paris Saint Germain,Ligue 1
