,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,GA,SoTA,Saves,Save%,Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,TotDist,PrgDist,xA,Tkl,Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
10,Fabián Ruiz Peña,es ESP,MF,26,37,25,2279.0,25.3,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.1,3.1,2.4,5.5,36.0,143.0,101.0,0.12,0.12,0.24,0.12,0.24,0.13,0.1,0.23,0.13,0.23,Matches,,,,,,,,32.0,10.0,31.3,0.09,18.2,1800.0,994.0,602.0,106.0,1972.0,1055.0,649.0,138.0,91.3,94.2,92.8,76.8,26557.0,6887.0,3.3,67.0,46.0,31.0,52.3,21.0,86.0,27.0,1.0,7.0,11.0,38.9,2022-2023,Paris Saint Germain,Ligue 1
11,Nuno Mendes,pt POR,"DF,MF",20,32,26,2189.0,24.3,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,3.4,4.6,65.0,84.0,224.0,0.08,0.3,0.38,0.08,0.38,0.05,0.15,0.21,0.05,0.21,Matches,,,,,,,,12.0,9.0,75.0,0.17,13.7,955.0,553.0,304.0,41.0,1152.0,620.0,357.0,63.0,82.9,89.2,85.2,65.1,13628.0,4231.0,4.3,56.0,38.0,41.0,64.4,20.0,74.0,25.0,0.0,12.0,9.0,57.1,2022-2023,Paris Saint Germain,Ligue 1
12,Juan Bernat,es ESP,DF,29,36,22,2081.0,23.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,3.1,4.0,24.0,49.0,161.0,0.09,0.17,0.26,0.09,0.26,0.04,0.15,0.19,0.04,0.19,Matches,,,,,,,,9.0,7.0,77.8,0.22,11.4,1152.0,699.0,371.0,25.0,1249.0,750.0,396.0,32.0,92.2,93.2,93.7,78.1,15711.0,3666.0,3.1,43.0,28.0,25.0,57.1,12.0,53.0,24.0,1.0,7.0,12.0,36.8,2022-2023,Paris Saint Germain,Ligue 1
13,Carlos Soler,es ESP,MF,25,35,18,1532.0,17.0,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,1.9,1.9,1.6,3.5,19.0,59.0,72.0,0.35,0.12,0.47,0.35,0.47,0.13,0.1,0.23,0.13,0.23,Matches,,,,,,,,14.0,9.0,64.3,0.43,15.2,606.0,342.0,189.0,31.0,711.0,387.0,214.0,50.0,85.2,88.4,88.3,62.0,8510.0,1998.0,1.5,24.0,11.0,18.0,52.4,7.0,31.0,7.0,0.0,2.0,7.0,22.2,2022-2023,Paris Saint Germain,Ligue 1
14,Hugo Ekitike,fr FRA,"MF,FW",20,32,14,1399.0,15.5,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,3.9,3.9,1.6,5.5,25.0,24.0,91.0,0.26,0.26,0.51,0.26,0.51,0.29,0.12,0.41,0.29,0.41,Matches,,,,,,,,40.0,18.0,45.0,0.1,14.8,282.0,194.0,58.0,6.0,345.0,228.0,76.0,9.0,81.7,85.1,76.3,66.7,3461.0,413.0,1.7,13.0,5.0,5.0,38.5,9.0,22.0,3.0,0.0,9.0,13.0,40.9,2022-2023,Paris Saint Germain,Ligue 1
15,Nordi Mukiele,fr FRA,"DF,MF",24,25,14,1351.0,15.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,3.1,21.0,27.0,72.0,0.0,0.2,0.2,0.0,0.2,0.07,0.15,0.23,0.07,0.23,Matches,,,,,,,,11.0,2.0,18.2,0.0,11.6,621.0,342.0,233.0,19.0,722.0,372.0,267.0,29.0,86.0,91.9,87.3,65.5,9053.0,2652.0,1.5,32.0,20.0,25.0,66.7,16.0,47.0,18.0,0.0,23.0,15.0,60.5,2022-2023,Paris Saint Germain,Ligue 1
16,Warren Zaire-Emery,fr FRA,MF,16,31,10,1130.0,12.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.6,2.0,25.0,35.0,61.0,0.16,0.0,0.16,0.16,0.16,0.13,0.05,0.18,0.13,0.18,Matches,,,,,,,,9.0,4.0,44.4,0.22,17.1,601.0,359.0,198.0,11.0,662.0,388.0,209.0,16.0,90.8,92.5,94.7,68.8,8149.0,1665.0,1.2,19.0,10.0,15.0,29.4,13.0,31.0,17.0,0.0,3.0,13.0,18.8,2022-2023,Paris Saint Germain,Ligue 1
17,Presnel Kimpembe,fr FRA,DF,26,15,11,967.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.2,0.8,5.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,Matches,,,,,,,,5.0,0.0,0.0,0.0,6.3,569.0,293.0,235.0,25.0,606.0,302.0,244.0,31.0,93.9,97.0,96.3,80.6,8644.0,3566.0,0.3,19.0,9.0,10.0,69.2,17.0,34.0,11.0,1.0,14.0,8.0,63.6,2022-2023,Paris Saint Germain,Ligue 1
18,Renato Sanches,pt POR,MF,24,27,8,915.0,10.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,1.7,2.8,32.0,61.0,28.0,0.2,0.0,0.2,0.2,0.2,0.11,0.18,0.29,0.11,0.29,Matches,,,,,,,,14.0,6.0,42.9,0.14,17.9,710.0,360.0,277.0,54.0,775.0,392.0,288.0,65.0,91.6,91.8,96.2,83.1,11478.0,2798.0,1.4,11.0,7.0,1.0,41.2,10.0,21.0,4.0,0.0,5.0,7.0,41.7,2022-2023,Paris Saint Germain,Ligue 1
19,El Chadaille Bitshiabu,fr FRA,DF,17,16,7,717.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,,,,,,,,0.0,0.0,,,,456.0,196.0,213.0,34.0,492.0,205.0,229.0,42.0,92.7,95.6,93.0,81.0,7896.0,2697.0,0.1,11.0,3.0,9.0,25.0,10.0,20.0,15.0,3.0,7.0,7.0,50.0,2022-2023,Paris Saint Germain,Ligue 1
