,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Season,Competition
13,14,Eibar,38,11,9,18,39,56,-17,42,2019-2020,La Liga
14,15,Betis,38,10,11,17,48,60,-12,41,2019-2020,La Liga
15,16,Alavés,38,10,9,19,34,59,-25,39,2019-2020,La Liga
16,17,Celta Vigo,38,7,16,15,37,49,-12,37,2019-2020,La Liga
17,18,Leganés,38,8,12,18,30,51,-21,36,2019-2020,La Liga
18,19,Mallorca,38,9,6,23,40,65,-25,33,2019-2020,La Liga
19,20,Espanyol,38,5,10,23,27,58,-31,25,2019-2020,La Liga
0,1,Barcelona,38,26,9,3,90,36,54,87,2018-2019,La Liga
1,2,Atlético Madrid,38,22,10,6,55,29,26,76,2018-2019,La Liga
2,3,Real Madrid,38,21,5,12,63,46,17,68,2018-2019,La Liga
3,4,Valencia,38,15,16,7,51,35,16,61,2018-2019,La Liga
4,5,Getafe,38,15,14,9,48,35,13,59,2018-2019,La Liga
5,6,Sevilla,38,17,8,13,62,47,15,59,2018-2019,La Liga
6,7,Espanyol,38,14,11,13,48,50,-2,53,2018-2019,La Liga
7,8,Athletic Club,38,13,14,11,41,45,-4,53,2018-2019,La Liga
8,9,Real Sociedad,38,13,11,14,45,46,-1,50,2018-2019,La Liga
9,10,Betis,38,14,8,16,44,52,-8,50,2018-2019,La Liga
10,11,Alavés,38,13,11,14,39,50,-11,50,2018-2019,La Liga
11,12,Eibar,38,11,14,13,46,50,-4,47,2018-2019,La Liga
12,13,Leganés,38,11,12,15,37,43,-6,45,2018-2019,La Liga
13,14,Villarreal,38,10,14,14,49,52,-3,44,2018-2019,La Liga
14,15,Levante,38,11,11,16,59,66,-7,44,2018-2019,La Liga
15,16,Valladolid,38,10,11,17,32,51,-19,41,2018-2019,La Liga
16,17,Celta Vigo,38,10,11,17,53,62,-9,41,2018-2019,La Liga
17,18,Girona,38,9,10,19,37,53,-16,37,2018-2019,La Liga
18,19,Huesca,38,7,12,19,43,65,-22,33,2018-2019,La Liga
19,20,Rayo Vallecano,38,8,8,22,41,70,-29,32,2018-2019,La Liga
